,index,Active,Agency,Bill_ID,LongDescription,ShortDescription,ID
0,0,True,House,1031,Concerning the use of unmanned aerial systems near certain protected marine species.,UAVs near marine species,1
1,1,True,House,1032,Concerning the excise taxation of martial arts.,Martial arts excise taxation,2
2,2,False,House,1037,Concerning notice sent by and certain release of information affecting registered tow truck operators.,Tow truck notices & info.,3
3,3,True,House,1037,Concerning notice sent by and certain release of information affecting registered tow truck operators.,Tow truck notices & info.,4
4,4,False,House,1045,Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.,Uniform money services act,5
5,5,True,House,1045,Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.,Uniform money services act,6
6,6,False,House,1046,Concerning certificates of academic and individual achievement.,Certificates of achievement,7
7,7,True,House,1046,Concerning certificates of academic and individual achievement.,Certificates of achievement,8
8,8,True,House,1053,Addressing the Washington state credit union act.,WA state credit union act,9
9,9,False,House,1054,Concerning the age of individuals at which sale or distribution of tobacco and vapor products may be made.,Tobacco & vapor products/age,10
10,11,False,House,1059,Delaying implementation of revisions to the school levy lid.,Schools/excess levies,11
11,12,True,House,1059,Delaying implementation of revisions to the school levy lid.,Schools/excess levies,12
12,13,False,House,1060,Concerning the administration of marijuana to students for medical purposes.,Medical marijuana/students,13
13,14,True,House,1060,Concerning the administration of marijuana to students for medical purposes.,Medical marijuana/students,14
14,15,False,House,1063,"Allowing federally recognized tribes with lands held in trust in a county that is west of the Cascade mountain range that borders Puget Sound with a population of at least one hundred eighteen thousand, but less than two hundred fifty thousand, persons to enter into agreements regarding fuel taxes.","Tribes, fuel tax agreements",15
15,16,True,House,1069,Concerning procedures for enforcing outpatient civil commitment orders.,Outpatient civil commitment,16
16,17,False,House,1070,Concerning filing fee surcharges for funding dispute resolution centers.,Dispute resolution fees,17
17,18,True,House,1070,Concerning filing fee surcharges for funding dispute resolution centers.,Dispute resolution fees,18
18,19,False,House,1075,Concerning the capital budget.,Capital budget 2017-2019,19
19,20,True,House,1075,Concerning the capital budget.,Capital budget 2017-2019,20
20,21,True,House,1078,"Concerning human trafficking, prostitution, and commercial sexual abuse of a minor.","Trafficking, etc/time limits",21
21,22,True,House,1081,Authorizing funeral planning and funeral services as noninsurance benefits under group life and disability insurance policies.,Insurance/funeral benefits,22
22,23,True,House,1089,Amending the schedule for updates to the comprehensive plan of Kitsap county.,Kitsap comprehensive plan,23
23,24,False,House,1097,Concerning tribal consultation regarding hunting rights and activities.,Hunting/tribal consultation,24
24,25,True,House,1097,Concerning tribal consultation regarding hunting rights and activities.,Hunting/tribal consultation,25
25,26,True,House,1125,Limiting the total number of retail marijuana licenses that may be held by a retailer and co-owners.,Marijuana licenses/total num,26
26,27,False,House,1126,Establishing a deadline for the use and implementation of a marijuana retail license by a licensee.,Marijuana license deadline,27
27,28,True,House,1126,Establishing a deadline for the use and implementation of a marijuana retail license by a licensee.,Marijuana license deadline,28
28,29,False,House,1129,Providing associate degree education to enhance education opportunities and public safety.,Associate degree education,29
29,30,True,House,1129,Providing associate degree education to enhance education opportunities and public safety.,Associate degree education,30
30,31,True,House,1132,Concerning dispute resolution between seed buyers and dealers.,Seed buyer & dealer disputes,31
31,32,True,House,1139,Concerning the methods of services provided by the office of public guardianship.,Office of pub. guardianship,32
32,33,False,House,1144,Amending state greenhouse gas emission limits for consistency with the most recent assessment of climate change science.,Greenhouse gas emissions,33
33,36,False,House,1151,Clarifying residency requirements for licensed marijuana businesses.,Marijuana business/residency,34
34,37,False,House,1154,Ensuring the competitiveness of Washington state's fishing and seafood processing industries by supporting the recapitalization of fishing fleets through certain tax preferences.,Fishing & seafood processing,35
35,38,False,House,1155,Making felony sex offenses a crime that may be prosecuted at any time after its commission.,Sex offenses/statute of lim.,36
36,39,True,House,1155,Making felony sex offenses a crime that may be prosecuted at any time after its commission.,Sex offenses/statute of lim.,37
37,40,False,House,1160,Enacting recommendations of the sunshine committee.,Sunshine committee,38
38,41,True,House,1160,Enacting recommendations of the sunshine committee.,Sunshine committee,39
39,42,True,House,1162,Concerning requirements for providing notice regarding court review of initial detention decisions under the involuntary treatment act.,Involuntary treatment notice,40
